LMP14_D_S,Clawdd/Hedgebanks,Fences,Fences With Trees,Hedge With Trees,Managed Hedge,Mixture,No Data,None,Overgrown Hedges,Slate Fences,Stone Walls,Total_Km2
Coastal edge,0,0,0,0,0,0,0,0,0,0,0,0
Developed (amenity),0,0,0,0,0,0,0,0,0,0,0,0
Developed (communities),0,0,0,0,4.51,2.03,0,0,0,0,0.48000000000000004,7.02
Developed (industry),0,0.33,0.11,0,0,0.36000000000000004,0,0.83,0,0,0,1.6300000000000001
Lowland (wooded & wetland),0,0,0,0,6.65,0,0,0,0,0,0,6.65
Lowland valleys (hedgerow),0,0,0,10.64,0,1.6,0,0,0,0,0,12.24
Lowland valleys (open),0,0,0,23.67,31.92,0,0,0,0,0,0,55.59
Upland (grassland),0,12.84,0,50.41,32.25,28.21,0,0.31,22.689999999999998,0,23,169.71
Upland (moorland),0,0,0,0,0,0,0,512.51,0,0,15.71,528.22
Upland (rock),0,0,0,0,0,0,0,1.14,0,0,0,1.14
Upland (wooded hills),0,0,0,0,16.23,0,0,0,0,0,0,16.23
Upland (wooded),0,99.78999999999999,0,183.15,120.2,65.34,0,7.02,64.27,0,3.4299999999999997,543.2
Water (inland),0,1.81,0,0,1.33,0.6200000000000001,0,4.5200000000000005,0,0,0.27,8.55
Water (sea),0,0,0,0,0,0,0,0,0,0,0,0
Total,0,114.77,0.11,267.87,213.09,98.16000000000001,0,526.33,86.96,0,42.89,1350.18
