LMP14_D_S,Clawdd/Hedgebanks,Fences,Fences With Trees,Hedge With Trees,Managed Hedge,Mixture,No Data,None,Overgrown Hedges,Slate Fences,Stone Walls,% Total
Coastal edge,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.76,0.00,0.00,0.23,5.99
Developed (amenity),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.13
Developed (communities),0.00,0.35,0.00,0.00,0.23,0.28,0.00,0.00,0.00,0.00,0.32,1.18
Developed (industry),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lowland (wooded & wetland),2.24,0.00,0.00,0.63,2.27,2.52,0.00,0.00,0.00,0.00,0.00,7.66
Lowland valleys (hedgerow),10.94,0.00,0.00,5.42,4.22,0.00,0.00,0.00,0.00,0.00,0.00,20.58
Lowland valleys (open),20.92,0.00,0.00,1.75,8.52,5.49,0.00,0.00,0.00,0.00,0.27,36.95
Upland (grassland),5.19,7.89,0.00,0.00,4.48,0.00,0.00,2.35,1.53,0.00,0.00,21.44
Upland (moorland),1.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.62
Upland (rock),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Upland (wooded hills),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Upland (wooded),1.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.46
Water (inland),0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.99,0.00,0.00,0.00,2.99
Water (sea),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
